Group Starts,Sum - Volume (Peace Arch South NEXUS),Sum - Volume (Pacific Highway South Cars),Sum - Volume (Peace Arch South Cars),Sum - Volume (Sumas/Huntingdon South Cars),Sum - Volume (Lynden/Aldergrove South Cars),Sum - Volume (Pacific Highway South NEXUS)
2008-01-01 00:00:00,,3368.0,,,,185.0
2008-02-01 00:00:00,,,,,,
2008-03-01 00:00:00,,,,,,
2008-04-01 00:00:00,41831.0,60221.0,77642.0,,,6548.0
2008-05-01 00:00:00,43911.0,74885.0,86937.0,,,10062.0
2008-06-01 00:00:00,42444.0,59585.0,76251.0,,,8615.0
2008-07-01 00:00:00,34276.0,89567.0,82586.0,,,13065.0
2008-08-01 00:00:00,49361.0,95731.0,80536.0,,,14669.0
2008-09-01 00:00:00,42519.0,74200.0,60687.0,,,12703.0
2008-10-01 00:00:00,39656.0,67806.0,60280.0,,,12791.0
2008-11-01 00:00:00,37143.0,67607.0,64510.0,,,13203.0
2008-12-01 00:00:00,30654.0,58618.0,74279.0,,,12567.0
2009-01-01 00:00:00,35690.0,62057.0,58767.0,,,13665.0
2009-02-01 00:00:00,34480.0,58053.0,55387.0,,,13977.0
2009-03-01 00:00:00,40097.0,71243.0,66505.0,,,16211.0
2009-04-01 00:00:00,42531.0,69857.0,67342.0,,,23966.0
2009-05-01 00:00:00,45107.0,77732.0,75966.0,,,27155.0
2009-06-01 00:00:00,45703.0,78365.0,72634.0,,,27218.0
2009-07-01 00:00:00,46582.0,94050.0,85487.0,,,28281.0
2009-08-01 00:00:00,48327.0,97262.0,96033.0,,,23569.0
2009-09-01 00:00:00,45804.0,82523.0,86316.0,,,20843.0
2009-10-01 00:00:00,46103.0,74162.0,82066.0,,,20848.0
2009-11-01 00:00:00,42910.0,69334.0,78799.0,,,19621.0
2009-12-01 00:00:00,43753.0,71217.0,84091.0,,,19917.0
2010-01-01 00:00:00,43236.0,66707.0,77759.0,,,18630.0
2010-02-01 00:00:00,39717.0,65030.0,97467.0,,,17142.0
2010-03-01 00:00:00,48201.0,74705.0,108408.0,,,20675.0
2010-04-01 00:00:00,48040.0,75612.0,108510.0,,,22811.0
2010-05-01 00:00:00,49429.0,75464.0,114096.0,,,22571.0
2010-06-01 00:00:00,26981.0,82854.0,116871.0,,,23340.0
2010-07-01 00:00:00,0.0,81124.0,85789.0,,,22180.0
2010-08-01 00:00:00,0.0,88402.0,81063.0,,,20950.0
2010-09-01 00:00:00,0.0,74972.0,769.0,,,141.0
2010-10-01 00:00:00,22679.0,100551.0,56881.0,,,9545.0
2010-11-01 00:00:00,53937.0,73986.0,98640.0,,,23233.0
2010-12-01 00:00:00,57985.0,78117.0,113383.0,,,25553.0
2011-01-01 00:00:00,45023.0,75848.0,96942.0,,,23304.0
2011-02-01 00:00:00,43330.0,69686.0,102363.0,,,23142.0
2011-03-01 00:00:00,52394.0,77089.0,129891.0,,,26607.0
2011-04-01 00:00:00,51449.0,88911.0,130969.0,,,28609.0
2011-05-01 00:00:00,50220.0,91092.0,142773.0,34136.0,8948.0,29553.0
2011-06-01 00:00:00,47708.0,92551.0,140992.0,72030.0,41128.0,29437.0
2011-07-01 00:00:00,49107.0,108196.0,164317.0,75721.0,51350.0,31032.0
2011-08-01 00:00:00,52248.0,115253.0,173109.0,76961.0,52113.0,31854.0
2011-09-01 00:00:00,41201.0,87369.0,133379.0,59926.0,41076.0,26340.0
2011-10-01 00:00:00,49259.0,98842.0,139515.0,67069.0,48153.0,33098.0
2011-11-01 00:00:00,48387.0,97453.0,131425.0,65827.0,43147.0,31114.0
2011-12-01 00:00:00,55554.0,103872.0,142019.0,69559.0,47873.0,35318.0
2012-01-01 00:00:00,43589.0,78023.0,99641.0,55150.0,32765.0,25313.0
2012-02-01 00:00:00,50925.0,91427.0,119198.0,64800.0,44775.0,30807.0
2012-03-01 00:00:00,50097.0,105836.0,147128.0,71817.0,52477.0,36333.0
2012-04-01 00:00:00,45799.0,84956.0,124283.0,43583.0,43427.0,31902.0
2012-05-01 00:00:00,41589.0,80685.0,119434.0,39408.0,40219.0,29908.0
2012-06-01 00:00:00,53010.0,104812.0,157029.0,69920.0,53111.0,42137.0
2012-07-01 00:00:00,55580.0,113373.0,171352.0,77517.0,57956.0,98980.0
2012-08-01 00:00:00,60367.0,117384.0,192574.0,74518.0,60113.0,65267.0
2012-09-01 00:00:00,52615.0,104404.0,152113.0,66794.0,50232.0,41511.0
2012-10-01 00:00:00,56833.0,100554.0,138624.0,65562.0,50125.0,47721.0
2012-11-01 00:00:00,56691.0,75396.0,109462.0,52538.0,38912.0,32413.0
2012-12-01 00:00:00,61385.0,96153.0,151221.0,71008.0,49726.0,46297.0
2013-01-01 00:00:00,58711.0,87100.0,131869.0,66047.0,44039.0,41723.0
2013-02-01 00:00:00,65526.0,87768.0,133666.0,65349.0,44991.0,42991.0
2013-03-01 00:00:00,73948.0,102867.0,158228.0,72843.0,50538.0,50829.0
2013-04-01 00:00:00,50356.0,62882.0,111088.0,53153.0,37637.0,36083.0
2013-05-01 00:00:00,72903.0,88931.0,160185.0,74070.0,54056.0,52445.0
2013-06-01 00:00:00,69763.0,83286.0,163710.0,76814.0,51926.0,52824.0
2013-07-01 00:00:00,55706.0,87641.0,179168.0,76951.0,53890.0,50283.0
2013-08-01 00:00:00,61455.0,93531.0,198909.0,82759.0,61264.0,49553.0
2013-09-01 00:00:00,67924.0,77746.0,154520.0,71547.0,53024.0,48750.0
2013-10-01 00:00:00,70694.0,76887.0,129121.0,61101.0,45887.0,49552.0
2013-11-01 00:00:00,73545.0,81498.0,145438.0,66477.0,49428.0,29789.0
2013-12-01 00:00:00,79313.0,84357.0,149609.0,64432.0,50210.0,51492.0
2014-01-01 00:00:00,78059.0,77837.0,128366.0,65119.0,44323.0,47704.0
2014-02-01 00:00:00,62572.0,69020.0,111480.0,54001.0,40453.0,40435.0
2014-03-01 00:00:00,83191.0,89382.0,138863.0,61059.0,49345.0,36853.0
2014-04-01 00:00:00,89669.0,84660.0,140679.0,63568.0,49862.0,46519.0
2014-05-01 00:00:00,87976.0,95156.0,151777.0,67888.0,52972.0,55568.0
2014-06-01 00:00:00,76630.0,98081.0,153853.0,68608.0,51766.0,57406.0
2014-07-01 00:00:00,66981.0,107017.0,172452.0,69762.0,53098.0,58983.0
2014-08-01 00:00:00,57763.0,114777.0,181139.0,73718.0,44920.0,56921.0
2014-09-01 00:00:00,55922.0,91030.0,144334.0,66308.0,45496.0,53244.0
2014-10-01 00:00:00,76780.0,81402.0,129934.0,59381.0,38804.0,52792.0
2014-11-01 00:00:00,68194.0,70985.0,110941.0,49476.0,31927.0,39865.0
2014-12-01 00:00:00,70447.0,86157.0,128509.0,54132.0,33178.0,52830.0
