Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AK: Alcan                                                   , 2008, 01 - JAN, 479, 455, 44, 0, 0, 0, 0, 8, 22, 749, 1482, 1, 
AK: Alcan                                                   , 2008, 02 - FEB, 520, 501, 30, 0, 0, 0, 0, 11, 109, 928, 1713, 0, 
AK: Alcan                                                   , 2008, 03 - MAR, 610, 591, 21, 0, 0, 0, 0, 8, 28, 1704, 3043, 0, 
AK: Alcan                                                   , 2008, 04 - APR, 600, 571, 23, 0, 0, 0, 0, 9, 19, 2497, 4394, 2, 
AK: Alcan                                                   , 2008, 05 - MAY, 655, 616, 18, 0, 0, 0, 0, 27, 442, 5760, 10845, 4, 
AK: Alcan                                                   , 2008, 06 - JUN, 722, 678, 20, 0, 0, 0, 0, 91, 2602, 9611, 21959, 0, 
AK: Alcan                                                   , 2008, 07 - JUL, 625, 586, 31, 0, 0, 0, 0, 111, 2958, 8835, 19479, 29, 
AK: Alcan                                                   , 2008, 08 - AUG, 531, 467, 13, 0, 0, 0, 0, 89, 2659, 6455, 14787, 28, 
AK: Alcan                                                   , 2008, 09 - SEP, 445, 434, 6, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 
AK: Alcan                                                   , 2008, 10 - OCT, 552, 474, 24, 0, 0, 0, 0, 8, 70, 1624, 3080, 1, 
AK: Alcan                                                   , 2008, 11 - NOV, 473, 478, 11, 0, 0, 0, 0, 5, 13, 980, 1947, 1, 
AK: Alcan                                                   , 2008, 12 - DEC, 437, 408, 11, 0, 0, 0, 0, 20, 0, 834, 1607, 0, 
AK: Alcan                                                   , 2009, 01 - JAN, 473, 474, 15, 0, 0, 0, 0, 3, 10, 799, 1487, 1, 
AK: Alcan                                                   , 2009, 02 - FEB, 492, 480, 12, 0, 0, 0, 0, 6, 91, 903, 1752, 1, 
AK: Alcan                                                   , 2009, 03 - MAR, 534, 562, 8, 0, 0, 0, 0, 4, 26, 1803, 3258, 0, 
AK: Alcan                                                   , 2009, 04 - APR, 501, 508, 14, 0, 0, 0, 0, 7, 15, 2371, 4249, 0, 
AK: Alcan                                                   , 2009, 05 - MAY, 633, 611, 6, 0, 0, 0, 0, 37, 790, 5761, 10880, 2, 
AK: Alcan                                                   , 2009, 06 - JUN, 626, 580, 16, 0, 0, 0, 0, 97, 2522, 9734, 19631, 0, 
AK: Alcan                                                   , 2009, 07 - JUL, 705, 616, 11, 0, 0, 0, 0, 91, 1949, 8750, 21445, 5, 
AK: Alcan                                                   , 2009, 08 - AUG, 620, 591, 4, 0, 0, 0, 0, 78, 2092, 7100, 15378, 54, 
AK: Alcan                                                   , 2009, 09 - SEP, 573, 503, 11, 0, 0, 0, 0, 36, 500, 6070, 6695, 0, 
AK: Alcan                                                   , 2009, 10 - OCT, 101, 494, 21, 0, 0, 0, 0, 19, 88, 1657, 3059, 0, 
AK: Alcan                                                   , 2009, 11 - NOV, 101, 487, 3, 0, 0, 0, 0, 5, 21, 1133, 2124, 0, 
AK: Alcan                                                   , 2009, 12 - DEC, 57, 476, 6, 0, 0, 0, 0, 6, 35, 864, 1597, 1, 
AK: Alcan                                                   , 2010, 01 - JAN, 70, 521, 5, 0, 0, 0, 0, 4, 10, 800, 1533, 0, 
AK: Alcan                                                   , 2010, 02 - FEB, 77, 492, 7, 0, 0, 0, 0, 11, 91, 775, 1435, 3, 
AK: Alcan                                                   , 2010, 03 - MAR, 81, 565, 9, 0, 0, 0, 0, 8, 32, 1706, 2830, 0, 
AK: Alcan                                                   , 2010, 04 - APR, 126, 700, 5, 0, 0, 0, 0, 8, 20, 2716, 4788, 1, 
AK: Alcan                                                   , 2010, 05 - MAY, 106, 774, 9, 0, 0, 0, 0, 28, 395, 6148, 11170, 0, 
AK: Alcan                                                   , 2010, 06 - JUN, 98, 741, 4, 0, 0, 0, 0, 94, 2213, 10517, 20438, 0, 
AK: Alcan                                                   , 2010, 07 - JUL, 96, 713, 8, 0, 0, 0, 0, 136, 3575, 9415, 19789, 2, 
AK: Alcan                                                   , 2010, 08 - AUG, 117, 665, 0, 0, 0, 0, 0, 154, 4150, 6277, 14703, 56, 
AK: Alcan                                                   , 2010, 09 - SEP, 123, 572, 1, 0, 0, 0, 0, 28, 588, 3127, 6208, 9, 
AK: Alcan                                                   , 2010, 10 - OCT, 84, 420, 1, 0, 0, 0, 0, 5, 40, 1647, 3165, 0, 
AK: Alcan                                                   , 2010, 11 - NOV, 86, 516, 2, 0, 0, 0, 0, 2, 6, 1051, 1902, 1, 
AK: Alcan                                                   , 2010, 12 - DEC, 64, 526, 8, 0, 0, 0, 0, 3, 13, 878, 1687, 0, 
AK: Alcan                                                   , 2011, 01 - JAN, 71, 534, 3, 0, 0, 0, 0, 9, 44, 807, 1529, 0, 
AK: Alcan                                                   , 2011, 02 - FEB, 56, 430, 3, 0, 0, 0, 0, 5, 27, 980, 1864, 0, 
AK: Alcan                                                   , 2011, 03 - MAR, 78, 548, 4, 0, 0, 0, 0, 5, 16, 1868, 3292, 0, 
AK: Alcan                                                   , 2011, 04 - APR, 73, 523, 1, 0, 0, 0, 0, 4, 8, 2506, 4396, 1, 
AK: Alcan                                                   , 2011, 05 - MAY, 92, 678, 5, 0, 0, 0, 0, 31, 692, 5371, 10173, 7, 
AK: Alcan                                                   , 2011, 06 - JUN, 102, 682, 6, 0, 0, 0, 0, 136, 4050, 8842, 17520, 7, 
AK: Alcan                                                   , 2011, 07 - JUL, 99, 412, 8, 0, 0, 0, 0, 148, 4115, 9171, 18701, 9, 
AK: Alcan                                                   , 2011, 08 - AUG, 117, 593, 5, 0, 0, 0, 0, 150, 4643, 6839, 13989, 67, 
AK: Alcan                                                   , 2011, 09 - SEP, 115, 549, 11, 0, 0, 0, 0, 39, 659, 3268, 6460, 3, 
AK: Alcan                                                   , 2011, 10 - OCT, 84, 513, 28, 0, 0, 0, 0, 2, 6, 1491, 2832, 4, 
AK: Alcan                                                   , 2011, 11 - NOV, 72, 527, 15, 0, 0, 0, 0, 2, 7, 998, 1769, 2, 
